               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12165,            0.047707,            0.030419,           0.0051127,             0.21485,           0.0034756,           0.0007699,             0.12836,            0.047851,            0.026567,              0.0937,              0.0007,              0.0007
                   1,             0.11265,            0.045819,            0.027701,           0.0064238,             0.26658,           0.0071494,           0.0015237,             0.12357,            0.051212,            0.025863,            0.086351,           0.0013515,           0.0013515
                   2,             0.11548,            0.045909,            0.027839,            0.010081,             0.43568,            0.010993,           0.0022806,             0.11449,            0.056872,            0.024609,            0.078845,           0.0018446,           0.0018446
                   3,             0.10844,            0.049544,            0.028535,            0.011266,             0.49337,            0.013103,           0.0031936,             0.10738,            0.061325,            0.023798,            0.071179,           0.0021793,           0.0021793
                   4,            0.096419,             0.04803,            0.027256,            0.014219,             0.62003,            0.021632,           0.0048486,             0.10182,            0.064943,            0.023096,            0.063356,           0.0023556,           0.0023556
                   5,             0.10318,            0.054251,            0.027767,            0.017235,             0.74469,            0.030447,           0.0068527,            0.097857,            0.067358,            0.022494,            0.055374,           0.0023735,           0.0023735
                   6,            0.098286,            0.054567,            0.025825,            0.017986,             0.78316,             0.03875,           0.0097915,            0.094768,            0.069032,             0.02197,            0.047233,            0.002233,            0.002233
                   7,            0.093796,            0.050673,            0.025519,            0.020473,             0.89257,            0.059059,            0.017099,            0.091786,            0.070717,            0.021339,            0.038934,           0.0019341,           0.0019341
                   8,            0.094802,            0.051425,            0.025375,            0.020104,             0.87135,            0.085911,               0.024,            0.088532,             0.07208,            0.020431,            0.030477,           0.0014768,           0.0014768
                   9,            0.091449,            0.053814,            0.024527,            0.020104,             0.87135,            0.085911,               0.024,            0.088532,             0.07208,            0.020431,            0.021861,           0.0008611,           0.0008611
