               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12165,            0.047707,            0.030419,           0.0051127,             0.21485,           0.0034756,           0.0007699,             0.12836,            0.047851,            0.026567,              0.0937,              0.0007,              0.0007
                   1,             0.11258,             0.04584,             0.02769,           0.0064238,             0.26658,           0.0072096,            0.001534,             0.12326,            0.051417,            0.025807,             0.08645,           0.0014505,           0.0014505
                   2,             0.11495,            0.046076,            0.027775,            0.010875,             0.47414,            0.011586,           0.0024038,             0.11238,            0.058136,            0.024363,            0.079148,           0.0021482,           0.0021482
                   3,             0.10683,            0.050201,            0.028295,            0.012497,             0.54907,             0.01596,           0.0038174,             0.10365,            0.063646,            0.023332,            0.071793,           0.0027931,           0.0027931
                   4,            0.094232,            0.048625,             0.02674,            0.018527,             0.79841,            0.036146,           0.0080517,             0.09751,            0.067661,             0.02234,            0.064385,           0.0033852,           0.0033852
                   5,            0.099723,            0.054959,            0.026895,            0.018359,             0.80438,            0.047714,            0.012155,            0.093822,            0.069325,            0.021374,            0.056925,           0.0039245,           0.0039245
                   6,            0.094855,            0.054862,             0.02474,            0.018371,             0.80239,            0.074022,            0.017928,            0.090382,            0.070117,            0.020416,            0.049411,            0.004411,            0.004411
                   7,            0.089986,            0.050268,            0.024004,            0.021212,             0.72944,             0.13197,            0.034235,            0.086141,             0.07077,            0.019027,            0.041845,           0.0048447,           0.0048447
                   8,            0.090381,            0.050882,             0.02364,             0.13156,              0.5431,             0.20446,            0.064386,            0.079303,            0.069561,            0.016607,            0.034226,           0.0052256,           0.0052256
                   9,            0.081887,            0.053052,            0.021653,             0.13156,              0.5431,             0.20446,            0.064386,            0.079303,            0.069561,            0.016607,            0.026554,           0.0055537,           0.0055537
                  10,            0.081666,            0.051539,            0.020783,             0.37352,             0.39256,             0.35193,            0.096972,            0.076783,             0.06554,            0.014715,            0.018829,            0.005829,            0.005829
                  11,            0.082632,            0.055236,            0.019958,             0.37352,             0.39256,             0.35193,            0.096972,            0.076783,             0.06554,            0.014715,            0.011052,           0.0060515,           0.0060515
                  12,            0.075772,            0.043643,            0.019513,             0.37391,             0.46618,             0.35175,             0.11361,            0.078773,            0.058861,            0.012984,             0.00604,             0.00604,             0.00604
                  13,            0.077531,            0.051014,            0.019278,             0.37391,             0.46618,             0.35175,             0.11361,            0.078773,            0.058861,            0.012984,             0.00604,             0.00604,             0.00604
                  14,            0.074327,            0.043021,             0.02076,             0.27526,             0.35676,             0.27432,            0.084493,            0.081083,            0.054896,            0.012218,             0.00571,             0.00571,             0.00571
                  15,            0.081767,            0.049878,            0.018444,             0.27526,             0.35676,             0.27432,            0.084493,            0.081083,            0.054896,            0.012218,             0.00538,             0.00538,             0.00538
                  16,            0.083542,             0.04573,            0.018283,             0.33208,             0.45221,             0.34358,              0.1305,            0.082263,            0.053183,            0.011246,             0.00505,             0.00505,             0.00505
                  17,            0.083106,            0.045015,            0.017342,             0.33208,             0.45221,             0.34358,              0.1305,            0.082263,            0.053183,            0.011246,             0.00472,             0.00472,             0.00472
                  18,            0.077289,            0.049491,            0.017164,             0.51962,             0.49744,             0.50218,             0.16285,            0.073325,             0.05451,            0.010553,             0.00439,             0.00439,             0.00439
                  19,            0.065915,            0.042085,            0.016952,             0.51962,             0.49744,             0.50218,             0.16285,            0.073325,             0.05451,            0.010553,             0.00406,             0.00406,             0.00406
                  20,            0.072622,            0.049461,            0.017202,             0.62424,             0.53491,             0.58886,             0.22986,            0.068367,            0.053193,           0.0099978,             0.00373,             0.00373,             0.00373
                  21,             0.07346,            0.048485,            0.016298,             0.62424,             0.53491,             0.58886,             0.22986,            0.068367,            0.053193,           0.0099978,              0.0034,              0.0034,              0.0034
                  22,            0.070666,            0.045933,            0.016743,             0.65347,             0.54111,             0.63833,             0.28078,            0.064647,            0.052039,           0.0095104,             0.00307,             0.00307,             0.00307
                  23,            0.066662,            0.043338,            0.014706,             0.65347,             0.54111,             0.63833,             0.28078,            0.064647,            0.052039,           0.0095104,             0.00274,             0.00274,             0.00274
                  24,            0.068288,            0.046156,            0.017548,              0.6408,             0.55874,             0.61397,             0.26234,             0.06358,            0.051621,           0.0091868,             0.00241,             0.00241,             0.00241
                  25,             0.06862,            0.041448,            0.015091,              0.6408,             0.55874,             0.61397,             0.26234,             0.06358,            0.051621,           0.0091868,             0.00208,             0.00208,             0.00208
                  26,            0.061213,             0.03579,            0.013822,             0.67026,             0.54721,             0.63441,              0.2905,            0.062445,            0.051217,           0.0089878,             0.00175,             0.00175,             0.00175
                  27,             0.06327,            0.039252,            0.016383,             0.67026,             0.54721,             0.63441,              0.2905,            0.062445,            0.051217,           0.0089878,             0.00142,             0.00142,             0.00142
                  28,            0.070282,            0.049552,            0.015054,             0.60492,             0.69194,              0.6971,             0.32682,            0.060378,            0.050806,           0.0088758,             0.00109,             0.00109,             0.00109
                  29,            0.068815,            0.044804,            0.016157,             0.60492,             0.69194,              0.6971,             0.32682,            0.060378,            0.050806,           0.0088758,             0.00076,             0.00076,             0.00076
