               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12165,            0.047707,            0.030419,           0.0051127,             0.21485,           0.0034756,           0.0007699,             0.12836,            0.047851,            0.026567,              0.0937,              0.0007,              0.0007
                   1,             0.11256,            0.045845,            0.027688,           0.0064238,             0.26658,           0.0072296,           0.0015579,              0.1232,            0.051459,            0.025796,             0.08647,           0.0014703,           0.0014703
                   2,             0.11484,            0.046109,            0.027762,            0.010874,             0.47414,            0.011642,           0.0024677,             0.11201,            0.058362,            0.024316,            0.079209,           0.0022089,           0.0022089
                   3,             0.10653,            0.050321,             0.02825,            0.012889,              0.5683,            0.016675,           0.0039791,             0.10304,            0.064037,            0.023244,            0.071916,           0.0029159,           0.0029159
                   4,            0.093881,            0.048677,            0.026643,            0.018083,             0.78117,            0.033906,           0.0076927,            0.096926,             0.06798,            0.022203,            0.064591,           0.0035911,           0.0035911
                   5,            0.099157,            0.055008,            0.026736,            0.018022,             0.78316,            0.047614,             0.01318,            0.093322,             0.06943,            0.021171,            0.057235,           0.0042347,           0.0042347
                   6,            0.094382,            0.054761,            0.024551,            0.018805,             0.81963,            0.089867,            0.019069,            0.090048,            0.069772,            0.020149,            0.049847,           0.0048466,           0.0048466
                   7,            0.089455,             0.05005,            0.023729,            0.027418,              0.8004,             0.14754,            0.039367,            0.085416,            0.070357,            0.018662,            0.042427,           0.0054268,           0.0054268
                   8,            0.089598,            0.050683,            0.023356,             0.19536,             0.45491,             0.23496,            0.077344,            0.078483,            0.068586,            0.016074,            0.034975,           0.0059754,           0.0059754
                   9,            0.081378,             0.05234,            0.021211,             0.19536,             0.45491,             0.23496,            0.077344,            0.078483,            0.068586,            0.016074,            0.027492,           0.0064922,           0.0064922
                  10,            0.081337,             0.05068,            0.020327,             0.30166,             0.39523,             0.33048,              0.1053,            0.077039,            0.062945,            0.014041,            0.019977,           0.0069774,           0.0069774
                  11,            0.082209,            0.053893,            0.019426,             0.30166,             0.39523,             0.33048,              0.1053,            0.077039,            0.062945,            0.014041,            0.012431,           0.0074309,           0.0074309
                  12,            0.076616,            0.042005,            0.018901,             0.28125,             0.43369,             0.25537,            0.096965,            0.082355,            0.055032,            0.012077,            0.007624,            0.007624,            0.007624
                  13,            0.079947,            0.048126,            0.018835,             0.28125,             0.43369,             0.25537,            0.096965,            0.082355,            0.055032,            0.012077,            0.007624,            0.007624,            0.007624
                  14,            0.077589,            0.040448,            0.020109,            0.072973,             0.14987,            0.084498,             0.01583,             0.09251,            0.051108,            0.011221,            0.007426,            0.007426,            0.007426
                  15,            0.087529,            0.046622,             0.01765,            0.072973,             0.14987,            0.084498,             0.01583,             0.09251,            0.051108,            0.011221,            0.007228,            0.007228,            0.007228
                  16,            0.087604,            0.042871,            0.017609,             0.28378,              0.4196,             0.23328,            0.071097,            0.080943,            0.051878,            0.010162,             0.00703,             0.00703,             0.00703
                  17,            0.081483,            0.043812,            0.016514,             0.28378,              0.4196,             0.23328,            0.071097,            0.080943,            0.051878,            0.010162,            0.006832,            0.006832,            0.006832
                  18,            0.076358,            0.047915,            0.016298,             0.45429,             0.51468,             0.40046,             0.13322,            0.077017,            0.051423,           0.0093588,            0.006634,            0.006634,            0.006634
                  19,             0.06825,            0.039412,            0.016408,             0.45429,             0.51468,             0.40046,             0.13322,            0.077017,            0.051423,           0.0093588,            0.006436,            0.006436,            0.006436
                  20,            0.074316,            0.046895,            0.016434,             0.49255,             0.50464,             0.48724,             0.17229,            0.072731,            0.050546,           0.0087777,            0.006238,            0.006238,            0.006238
