               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12178,            0.047663,            0.030465,           0.0055617,              0.2321,           0.0040135,           0.0007608,             0.12879,            0.047557,            0.026749,              0.0937,              0.0007,              0.0007
                   1,             0.11363,            0.045421,            0.027942,           0.0055369,              0.2321,           0.0041959,           0.0012866,             0.12566,            0.049709,            0.026523,             0.08647,           0.0014703,           0.0014703
                   2,             0.11835,            0.044673,            0.028327,            0.010032,             0.43767,           0.0098994,           0.0020014,             0.12094,            0.052694,            0.026003,            0.079209,           0.0022089,           0.0022089
                   3,              0.1135,            0.047038,            0.029579,            0.012108,             0.52984,            0.014806,           0.0036492,             0.11666,            0.055281,            0.025595,            0.071916,           0.0029159,           0.0029159
                   4,             0.10289,            0.045005,            0.028638,            0.016292,              0.7122,             0.03415,           0.0074427,             0.11259,            0.057376,            0.025178,            0.064591,           0.0035911,           0.0035911
                   5,             0.10967,            0.050509,            0.029928,            0.017528,              0.7679,            0.051605,             0.01303,             0.10969,            0.058055,            0.024741,            0.057235,           0.0042347,           0.0042347
                   6,             0.10582,             0.04954,            0.027501,            0.017416,             0.77188,             0.07971,            0.021721,             0.10635,            0.058549,            0.024247,            0.049847,           0.0048466,           0.0048466
                   7,             0.10143,            0.045549,            0.027235,            0.032479,             0.82361,             0.18739,            0.049489,             0.10121,             0.05994,              0.0234,            0.042427,           0.0054268,           0.0054268
                   8,             0.10009,            0.046407,            0.026741,             0.15336,             0.55106,             0.28112,            0.063434,            0.096647,            0.060114,            0.021973,            0.034975,           0.0059754,           0.0059754
                   9,            0.094488,            0.048374,             0.02547,             0.15336,             0.55106,             0.28112,            0.063434,            0.096647,            0.060114,            0.021973,            0.027492,           0.0064922,           0.0064922
                  10,            0.094375,            0.046505,            0.024943,             0.41968,             0.51061,             0.47812,             0.13886,            0.089845,            0.061207,            0.020384,            0.019977,           0.0069774,           0.0069774
                  11,            0.092506,            0.051205,            0.023798,             0.41968,             0.51061,             0.47812,             0.13886,            0.089845,            0.061207,            0.020384,            0.012431,           0.0074309,           0.0074309
                  12,            0.085552,            0.041412,            0.023722,             0.53379,             0.52586,             0.52028,             0.18915,            0.083802,            0.061391,            0.018708,            0.007624,            0.007624,            0.007624
                  13,            0.084321,             0.05027,            0.022167,             0.53379,             0.52586,             0.52028,             0.18915,            0.083802,            0.061391,            0.018708,            0.007624,            0.007624,            0.007624
                  14,            0.081499,            0.043237,            0.024495,             0.48285,             0.39205,             0.42351,             0.10791,             0.08261,            0.060703,            0.017341,            0.007426,            0.007426,            0.007426
                  15,            0.086925,            0.050295,             0.02289,             0.48285,             0.39205,             0.42351,             0.10791,             0.08261,            0.060703,            0.017341,            0.007228,            0.007228,            0.007228
                  16,            0.088353,            0.046351,            0.022556,             0.21271,             0.22812,             0.17967,            0.044596,            0.083761,            0.062079,            0.016132,             0.00703,             0.00703,             0.00703
                  17,            0.089141,            0.045002,            0.021462,             0.21271,             0.22812,             0.17967,            0.044596,            0.083761,            0.062079,            0.016132,            0.006832,            0.006832,            0.006832
                  18,            0.085851,            0.049791,            0.021131,             0.37137,             0.28448,             0.32431,             0.10657,            0.082402,            0.063454,            0.014979,            0.006634,            0.006634,            0.006634
                  19,            0.078312,            0.043657,            0.019644,             0.37137,             0.28448,             0.32431,             0.10657,            0.082402,            0.063454,            0.014979,            0.006436,            0.006436,            0.006436
                  20,            0.085372,            0.048056,            0.020272,             0.50725,             0.45093,             0.47482,             0.12134,            0.079624,            0.062126,            0.014063,            0.006238,            0.006238,            0.006238
                  21,            0.087828,            0.047747,            0.019367,             0.50725,             0.45093,             0.47482,             0.12134,            0.079624,            0.062126,            0.014063,             0.00604,             0.00604,             0.00604
                  22,            0.083809,            0.046069,            0.019654,             0.40292,             0.62546,              0.5009,             0.16143,            0.074366,            0.061368,            0.013097,            0.005842,            0.005842,            0.005842
                  23,            0.077862,            0.045838,             0.01822,             0.40292,             0.62546,              0.5009,             0.16143,            0.074366,            0.061368,            0.013097,            0.005644,            0.005644,            0.005644
                  24,            0.082383,            0.045589,            0.020644,              0.3865,              0.4874,              0.4313,             0.13372,            0.075345,            0.061252,            0.012226,            0.005446,            0.005446,            0.005446
                  25,            0.082324,            0.042049,            0.017974,              0.3865,              0.4874,              0.4313,             0.13372,            0.075345,            0.061252,            0.012226,            0.005248,            0.005248,            0.005248
                  26,            0.071873,            0.037094,            0.015692,              0.4988,              0.5741,             0.61859,             0.24223,            0.073683,            0.059264,            0.011663,             0.00505,             0.00505,             0.00505
                  27,            0.076433,            0.040828,            0.018274,              0.4988,              0.5741,             0.61859,             0.24223,            0.073683,            0.059264,            0.011663,            0.004852,            0.004852,            0.004852
                  28,            0.082414,            0.047904,            0.017742,              0.5449,             0.67175,             0.60535,             0.22626,            0.071041,            0.058561,            0.011063,            0.004654,            0.004654,            0.004654
                  29,            0.083326,            0.043401,            0.018955,              0.5449,             0.67175,             0.60535,             0.22626,            0.071041,            0.058561,            0.011063,            0.004456,            0.004456,            0.004456
                  30,            0.083607,            0.039321,            0.017912,             0.45117,             0.64488,             0.60202,             0.21186,            0.073451,            0.057494,            0.010621,            0.004258,            0.004258,            0.004258
                  31,             0.08223,            0.044034,              0.0167,             0.45117,             0.64488,             0.60202,             0.21186,            0.073451,            0.057494,            0.010621,             0.00406,             0.00406,             0.00406
                  32,            0.072586,            0.036179,            0.018931,             0.58208,             0.68899,             0.63345,             0.20724,            0.071219,            0.056881,            0.010194,            0.003862,            0.003862,            0.003862
                  33,            0.075371,            0.045579,            0.014996,             0.58208,             0.68899,             0.63345,             0.20724,            0.071219,            0.056881,            0.010194,            0.003664,            0.003664,            0.003664
                  34,             0.07263,            0.042156,            0.015131,              0.6674,             0.64125,              0.7147,             0.28935,            0.069358,            0.055858,           0.0099321,            0.003466,            0.003466,            0.003466
                  35,            0.078227,            0.038609,            0.016725,              0.6674,             0.64125,              0.7147,             0.28935,            0.069358,            0.055858,           0.0099321,            0.003268,            0.003268,            0.003268
                  36,            0.078216,             0.04333,            0.016999,             0.75006,              0.6926,              0.8234,             0.34496,            0.068324,            0.055058,           0.0096581,             0.00307,             0.00307,             0.00307
                  37,            0.078559,             0.04368,            0.017724,             0.75006,              0.6926,              0.8234,             0.34496,            0.068324,            0.055058,           0.0096581,            0.002872,            0.002872,            0.002872
                  38,            0.077729,            0.050569,            0.015605,             0.70478,             0.72218,             0.79061,             0.35359,            0.068344,             0.05449,           0.0094433,            0.002674,            0.002674,            0.002674
                  39,            0.075983,             0.04282,            0.016096,             0.70478,             0.72218,             0.79061,             0.35359,            0.068344,             0.05449,           0.0094433,            0.002476,            0.002476,            0.002476
                  40,            0.075145,            0.044162,            0.015434,             0.63815,             0.72745,             0.70921,             0.30286,            0.068083,             0.05428,           0.0091787,            0.002278,            0.002278,            0.002278
                  41,            0.070473,            0.039499,            0.013948,             0.63815,             0.72745,             0.70921,             0.30286,            0.068083,             0.05428,           0.0091787,             0.00208,             0.00208,             0.00208
                  42,            0.079157,            0.043497,            0.016884,             0.70321,             0.76393,             0.76733,             0.33551,            0.067197,             0.05361,           0.0090356,            0.001882,            0.001882,            0.001882
                  43,            0.065635,            0.037826,            0.016268,             0.70321,             0.76393,             0.76733,             0.33551,            0.067197,             0.05361,           0.0090356,            0.001684,            0.001684,            0.001684
                  44,             0.07346,            0.039716,            0.015077,             0.76549,             0.79841,             0.83842,             0.38745,            0.066625,            0.053192,           0.0089264,            0.001486,            0.001486,            0.001486
                  45,            0.072655,            0.037218,            0.018291,             0.76549,             0.79841,             0.83842,             0.38745,            0.066625,            0.053192,           0.0089264,            0.001288,            0.001288,            0.001288
                  46,            0.071668,            0.034117,             0.01393,             0.74782,              0.8004,             0.82439,             0.35507,            0.066686,            0.052907,           0.0088372,             0.00109,             0.00109,             0.00109
                  47,            0.076515,            0.043788,            0.015867,             0.74782,              0.8004,             0.82439,             0.35507,            0.066686,            0.052907,           0.0088372,            0.000892,            0.000892,            0.000892
                  48,            0.068267,            0.038054,            0.016166,             0.73041,             0.80188,             0.81388,             0.36113,            0.066541,            0.052847,           0.0087951,            0.000694,            0.000694,            0.000694
                  49,            0.078169,            0.036679,            0.016549,             0.73041,             0.80188,             0.81388,             0.36113,            0.066541,            0.052847,           0.0087951,            0.000496,            0.000496,            0.000496
